,symboling,CompanyName,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,horsepower,peakrpm,citympg,highwaympg,price,out
0,3,17,0,0,1,4,1,88.6,168.8,64.1,48.8,2548,3,0,130,0,3.47,2.68,111,5000,21,27,13495.0,False
1,3,17,0,0,1,4,1,88.6,168.8,64.1,48.8,2548,3,0,130,0,3.47,2.68,111,5000,21,27,16500.0,False
2,1,17,0,0,1,1,1,94.5,171.2,65.5,52.4,2823,4,1,152,0,2.68,3.47,154,5000,19,26,16500.0,False
3,2,10,0,0,0,0,0,99.8,176.6,66.2,54.3,2337,0,0,109,0,3.19,3.4,102,5500,24,30,13950.0,False
4,2,10,0,0,0,0,2,99.4,176.6,66.4,54.3,2824,0,2,136,0,3.19,3.4,115,5500,18,22,17450.0,False
5,2,10,0,0,1,0,0,99.8,177.3,66.3,53.1,2507,0,2,136,0,3.19,3.4,110,5500,19,25,15250.0,False
6,1,10,0,0,0,0,0,105.8,192.7,71.4,55.7,2844,0,2,136,0,3.19,3.4,110,5500,19,25,17710.0,False
7,1,10,0,0,0,2,0,105.8,192.7,71.4,55.7,2954,0,2,136,0,3.19,3.4,110,5500,19,25,18920.0,False
8,1,10,0,1,0,0,0,105.8,192.7,71.4,55.9,3086,0,2,131,0,3.13,3.4,140,5500,17,20,23875.0,False
9,0,10,0,1,1,1,2,99.5,178.2,67.9,52.0,3053,0,2,131,0,3.13,3.4,160,5500,16,22,17859.167,False
10,2,13,0,0,1,0,1,101.2,176.8,64.8,54.3,2395,0,0,108,0,3.5,2.8,101,5800,23,29,16430.0,False
11,0,13,0,0,0,0,1,101.2,176.8,64.8,54.3,2395,0,0,108,0,3.5,2.8,101,5800,23,29,16925.0,False
12,0,13,0,0,1,0,1,101.2,176.8,64.8,54.3,2710,0,1,164,0,3.31,3.19,121,4250,21,28,20970.0,False
13,0,13,0,0,0,0,1,101.2,176.8,64.8,54.3,2765,0,1,164,0,3.31,3.19,121,4250,21,28,21105.0,False
14,1,13,0,0,0,0,1,103.5,189.0,66.9,55.7,3055,0,1,164,0,3.31,3.19,121,4250,20,25,24565.0,False
18,2,16,0,0,1,1,0,88.4,141.1,60.3,53.2,1488,1,4,61,1,2.91,3.03,48,5100,47,53,5151.0,False
19,1,16,0,0,1,1,0,94.5,155.9,63.6,52.0,1874,0,0,90,1,3.03,3.11,70,5400,38,43,6295.0,False
20,0,16,0,0,0,0,0,94.5,158.8,63.6,52.0,1909,0,0,90,1,3.03,3.11,70,5400,38,43,6575.0,False
21,1,9,0,0,1,1,0,93.7,157.3,63.8,50.8,1876,0,0,90,1,2.97,3.23,68,5500,37,41,5572.0,False
22,1,9,0,0,1,1,0,93.7,157.3,63.8,50.8,1876,0,0,90,1,2.97,3.23,68,5500,31,38,6377.0,False
23,1,9,0,1,1,1,0,93.7,157.3,63.8,50.8,2128,0,0,98,0,3.03,3.39,102,5500,24,30,7957.0,False
24,1,9,0,0,0,1,0,93.7,157.3,63.8,50.6,1967,0,0,90,1,2.97,3.23,68,5500,31,38,6229.0,False
25,1,9,0,0,0,0,0,93.7,157.3,63.8,50.6,1989,0,0,90,1,2.97,3.23,68,5500,31,38,6692.0,False
26,1,9,0,0,0,0,0,93.7,157.3,63.8,50.6,1989,0,0,90,1,2.97,3.23,68,5500,31,38,7609.0,False
27,1,9,0,1,1,0,0,93.7,157.3,63.8,50.6,2191,0,0,98,0,3.03,3.39,102,5500,24,30,8558.0,False
28,-1,9,0,0,0,2,0,103.3,174.6,64.6,59.8,2535,0,0,122,1,3.34,3.46,88,5000,24,30,8921.0,False
29,3,9,0,1,1,1,0,95.9,173.2,66.3,50.2,2811,0,0,156,6,3.6,3.9,145,5000,19,24,12964.0,False
30,2,4,0,0,1,1,0,86.6,144.6,63.9,50.8,1713,0,0,92,3,2.91,3.41,58,4800,49,54,6479.0,False
31,2,4,0,0,1,1,0,86.6,144.6,63.9,50.8,1819,0,0,92,3,2.91,3.41,76,6000,31,38,6855.0,False
32,1,4,0,0,1,1,0,93.7,150.0,64.0,52.6,1837,0,0,79,3,2.91,3.07,60,5500,38,42,5399.0,False
33,1,4,0,0,1,1,0,93.7,150.0,64.0,52.6,1940,0,0,92,3,2.91,3.41,76,6000,30,34,6529.0,False
34,1,4,0,0,1,1,0,93.7,150.0,64.0,52.6,1956,0,0,92,3,2.91,3.41,76,6000,30,34,7129.0,False
35,0,4,0,0,0,0,0,96.5,163.4,64.0,54.5,2010,0,0,92,3,2.91,3.41,76,6000,30,34,7295.0,False
36,0,4,0,0,0,2,0,96.5,157.1,63.9,58.3,2024,0,0,92,3,2.92,3.41,76,6000,30,34,7295.0,False
37,0,4,0,0,1,1,0,96.5,167.5,65.2,53.3,2236,0,0,110,3,3.15,3.58,86,5800,27,33,7895.0,False
